film name,binary,domgross,intgross,budget,year
  Aladdin,PASS,355559216,682244071,182000000,2019
  Alita: Battle Angel,PASS,85710210,317261058,170000000,2019
  Always Be My Maybe,PASS,,,,2019
  American Woman,PASS,236637,8799,,2019
  Anna,PASS,7743794,23174297,30000000,2019
  Annabelle Comes Home,PASS,74152591,154400000,,2019
  Article 15,FAIL,0,175151,,2019
  Avengers: Endgame,PASS,858373000,1937100000,400000000,2019
  Booksmart,PASS,22680962,1729226,,2019
  Brightburn,FAIL,17259427,15381194,7000000,2019
  Captain Marvel   ,PASS,426829839,699300000,175000000,2019
  Close   ,PASS,,,,2019
  Cold Pursuit   ,FAIL,32138862,30460297,60000000,2019
  Crawl   ,PASS,39014193,51000000,17000000,2019
  The Curse of La Llorona   ,PASS,54733739,66927656,,2019
  Dark Phoenix,PASS,65845974,180510921,200000000,2019
  Effigy – Poison and the City   ,PASS,,,,2019
  Fighting with My Family   ,PASS,22958583,15771649,11000000,2019
  Gisaengchung   ,PASS,4113934,100497169,11800000,2019
  Godzilla: King of the Monsters   ,PASS,110500138,272799777,170000000,2019
  Guava Island,FAIL,,,,2019
  Gully Boy,FAIL,4216437,1016016,,2019
  Happy Death Day 2U ,PASS,28051045,36222572,9000000,2019
  How to Train Your Dragon: The Hidden World ,FAIL,160799505,358114143,129000000,2019
  The Hustle ,PASS,35417038,59248934,21000000,2019
  I Am Mother,PASS,0,263452,,2019
  Isn't It Romantic,FAIL,48791187,0,31000000,2019
  John Wick: Chapter 3 - Parabellum   ,FAIL,171015687,154770095,40000000,2019
  The Kid Who Would Be King   ,FAIL,16790790,11506193,59000000,2019
  Late Night   ,PASS,15500045,5475174,4000000,2019
  Le chant du loup   ,FAIL,0,12402456,,2019
  The Lego Movie 2: The Second Part   ,PASS,105806508,84324528,99000000,2019
  The Lion King,PASS,543225130,1098218236,,2019
  Ma,PASS,,,,2019
  Midsommar   ,PASS,27426363,8919539,,2019
  Miss Bala   ,PASS,14998027,366605,15000000,2019
  My Little Pony: Equestria Girls: Spring Breakdown   ,PASS,,,,2019
  Nancy Drew and the Hidden Staircase   ,PASS,0,,,2019
  The Perfect Date   ,FAIL,0,,,2019
  Pokemon Detective Pikachu,PASS,144105346,285579676,150000000,2019
  Polar   ,FAIL,0,,,2019
  Rim of the World ,FAIL,,,,2019
  Serenity ,FAIL,8547045,4394550,25000000,2019
  Shazam!   ,PASS,140371656,223292877,85000000,2019
  The Silence   ,PASS,,,,2019
  Someone Great   ,PASS,0,,,2019
  Soni   ,PASS,0,,,2019
  Spider-Man: Far from Home   ,FAIL,390532085,741251268,160000000,2019
  Toy Story 4   ,PASS,433817692,636997158,,2019
  Triple Frontier,FAIL,0,,,2019
  Unplanned,PASS,19005109,314138,6000000,2019
  Us   ,PASS,175006930,80550594,20000000,2019
  The Wandering Earth (Liu Lang Di Qiu) ,PASS,0,692163684,,2019
  We Are Little Zombies ,FAIL,,,,2019
  Wine Country ,PASS,0,,,2019
10 Cloverfield Lane,PASS,72082999,36203423,15000000,2016
10 Days In A Madhouse,PASS,14616,,12000000,2016
13 Hours,FAIL,,,,2016
20th Century Women,PASS,5664763,1480125,5759879,2016
The 5th Wave,FAIL,34912982,111336398,,2016
The 9th Life of Louis Drax,FAIL,0,509487,,2016
A Cure for Wellness,FAIL,8106986,16349994,8233518,2016
A Dark Song,FAIL,0,23745,,2016
A Monster Calls,PASS,3740823,42673707,43000000,2016
A Quiet Passion,PASS,1865396,2266123,1894506,2016
A United Kingdom,PASS,3902185,11096020,170000000,2016
Absolutely Fabulous: The Movie,PASS,4772155,30900000,5025932,2016
The Accountant,FAIL,86260045,66702038,40000000,2016
Adventures in Babysitting,PASS,33790923,,78730251,2016
Alice Through the Looking Glass,PASS,77042381,199885731,170000000,2016
All Girls Weekend,PASS,0,6884,,2016
Allied,PASS,40098064,79168597,106000000,2016
Almost Christmas,PASS,42065185,428321,17000000,2016
Always Shine,PASS,16140,16990,,2016
American Honey,PASS,663247,1948503,3500000,2016
The Angry Birds Movie,FAIL,107509366,244818521,73000000,2016
Approaching the Unknown,FAIL,10232,10768,,2016
Aquarius,PASS,285930,2385576,301131,2016
Arrival,PASS,100546139,102581755,47000000,2016
Aruvi,PASS,0,863,,2016
Assassin's Creed,FAIL,54647948,186111734,125000000,2016
The Autopsy of Jane Doe,FAIL,0,6152973,,2016
Bad Moms,PASS,113257297,67741419,20000000,2016
Ballerina,PASS,21858070,75032724,30000000,2016
Bang Gang,PASS,0,122483,,2016
Bar Bahar,PASS,0,122483,,2016
Barbershop: The Next Cut,PASS,54030051,374151,20000000,2016
Batman v Superman: Dawn of Justice,FAIL,330360194,537140087,250000000,2016
Batman: Return of the Caped Crusaders,FAIL,0,57343,,2016
Batman: The Killing Joke,FAIL,3775000,586038,,2016
Be Somebody,PASS,0,0,,2016
Belgica,FAIL,0,45147,,2016
The Belko Experiment,PASS,10166820,1626122,5000000,2016
Below Her Mouth,PASS,0,35696,,2016
Better Watch Out,PASS,20369,168387,20680,2016
The BFG,PASS,55483770,144162910,140000000,2016
Billions,PASS,0,0,,2016
Birkebeinerne,FAIL,8905,6491,9374,2016
The Birth of a Nation,FAIL,15861566,1029445,10000000,2016
Blair Witch,FAIL,20777061,18208516,10000000,2016
Bliss!,PASS,,,,2016
The Boss,PASS,63077560,15574647,29000000,2016
The Boy,PASS,35819556,32401396,10000000,2016
Breathing Deep,FAIL,,,,2016
Bridget Jones's Baby,PASS,24139805,181682883,35000000,2016
The Brothers Grimsby,FAIL,6864016,21856454,35000000,2016
Busanhaeng,PASS,2129768,96328335,,2016
Cafe Society,FAIL,11103205,33256307,30000000,2016
Cam-Girl,PASS,,,,2016
Captain America: Civil War,PASS,408084349,745200000,250000000,2016
Captain Fantastic,PASS,5879835,15460399,5000000,2016
Catfight,PASS,0,2665,,2016
Central Intelligence,FAIL,127440871,89753934,50000000,2016
Certain Women,PASS,1068054,147637,,2016
The Choice,PASS,18730891,5593585,,2016
Christine,PASS,298525,51168,,2016
Collateral Beauty,FAIL,31016021,54293072,36000000,2016
Colossal,FAIL,3194575,1270826,,2016
The Conjuring 2,PASS,102470008,208792094,40000000,2016
Contratiempo,FAIL,0,30771639,,2016
Courier X,FAIL,,,,2016
Criminal,PASS,14708696,24062566,31500000,2016
"Crouching Tiger, Hidden Dragon: Sword of Destiny",PASS,0,38452981,,2016
Dad's Army,PASS,0,13152386,,2016
Dangal,PASS,12391761,282262857,9500000,2016
The Darkness,FAIL,10753574,144719,4000000,2016
Deadpool,FAIL,363070709,437954884,58000000,2016
Dear Eleanor,PASS,,,,2016
Deepwater Horizon,FAIL,61433527,61170297,156000000,2016
Demain tout commence,PASS,0,49070099,,2016
Denial,PASS,4073448,5190492,10000000,2016
Dernieres nouvelles du cosmos,PASS,,,,2016
Die letzte Sau,FAIL,,,,2016
Dirty 30,PASS,,,,2016
Dirty Grandpa,FAIL,35593113,,,2016
The Divergent Series: Allegiant,PASS,66184051,105838466,110000000,2016
Divines,PASS,,,,2016
Doctor Strange,FAIL,232641920,443762646,165000000,2016
Don't Breathe,PASS,89217875,69755810,10000000,2016
Don't Hang Up,FAIL,0,308642,,2016
Doukyuusei,FAIL,0,1415113,,2016
The Dragon Spell,FAIL,0,1524334,,2016
The Duel,FAIL,1069981,616142,,2016
The Eagle Huntress,FAIL,3168664,2462577,,2016
Eddie the Eagle,FAIL,15789389,29271091,,2016
The Edge of Seventeen,PASS,14431633,4664370,9000000,2016
El Olivo,PASS,0,1989235,,2016
Electra Woman and Dyna Girl,PASS,,,,2016
Elle,PASS,2339735,14177973,9100000,2016
Elvis & Nixon,FAIL,1055284,711419,,2016
Equity,PASS,1605463,66688,,2016
Everybody Wants Some,FAIL,3400278,2036848,,2016
Extremis,PASS,,,,2016
Fai bei sogni,FAIL,0,1882413,,2016
Fantastic Beasts and Where to Find Them,PASS,234037575,568365278,180000000,2016
Fences,PASS,57682904,6599977,,2016
Final Fantasy XV,PASS,269980,6210000,,2016
Finding Dory,PASS,486295561,542000000,200000000,2016
The Finest Hours,PASS,27569558,21683203,,2016
First Girl I Loved,PASS,,,,2016
Florence Foster Jenkins,PASS,27383770,28616569,29000000,2016
The Forest,PASS,26594261,14154969,,2016
Free Fire,FAIL,1799322,1799322,10000000,2016
Free State of Jones,FAIL,20810036,2427216,,2016
Friend Request,PASS,3759078,7551757,9900000,2016
The Fundamentals of Caring,PASS,0,0,,2016
Ghostbusters,PASS,242212467,53000000,30000000,2016
The Girl on the Train,PASS,75395035,98883179,45000000,2016
The Girl with All the Gifts,PASS,0,4801837,5250000,2016
Gods of Egypt,FAIL,31153464,107683292,140000000,2016
Grüße aus Fukushima (Greetings from Fukushima),PASS,0,576283,,2016
Grease Live!,PASS,,,,2016
The Great Wall,FAIL,45157105,289329747,150000000,2016
Hacksaw Ridge,FAIL,67209615,101695067,40000000,2016
"Hail, Caesar!",FAIL,30080225,34139971,22000000,2016
Hairspray Live!,PASS,,,,2016
The Handmaiden (Ah-ga-ssi),PASS,2006788,36564252,,2016
Hardcore Henry,FAIL,9252038,7935396,2000000,2016
Hated in the Nation,PASS,,,,2016
Hell or High Water,FAIL,27007844,10576460,12000000,2016
Hidden Figures,PASS,169607287,62164429,25000000,2016
High Strung,FAIL,53447,1978295,,2016
Hounds of Love,PASS,0,245909,,2016
House on Willow Street,PASS,0,32119,,2016
How to Be Single,PASS,46843513,53160267,37000000,2016
Hunt for the Wilderpeople,PASS,5205471,18640062,2500000,2016
The Huntsman: Winter's War,PASS,48003015,117146287,115000000,2016
Hurricane Bianca,PASS,,,,2016
Hush,PASS,,,,2016
I Am the Pretty Thing That Lives in the House,PASS,,,,2016
I Had a Bloody Good Time at House Harker,FAIL,,,,2016
"I, Daniel Blake",PASS,260354,15626833,,2016
Ice Age: Collision Course,PASS,64063008,338093674,105000000,2016
Ice Fantasy,PASS,,,,2016
In a Valley of Violence,FAIL,53647,,,2016
Independence Day: Resurgence,PASS,103144286,281025138,165000000,2016
Inferno,FAIL,34343574,185175793,75000000,2016
The Infiltrator,PASS,15436808,5281296,47500000,2016
It's Only the End of the World,PASS,0,9122927,,2016
Jack Reacher: Never Go Back,PASS,58697076,101249413,60000000,2016
Jackie,PASS,13960394,22628118,9000000,2016
Jane Got a Gun,FAIL,1513793,2257552,25000000,2016
Jason Bourne,FAIL,162192920,253975396,120000000,2016
Julieta,PASS,1489848,21416589,,2016
The Jungle Book,FAIL,364001123,598853424,175000000,2016
Justice League vs. Teen Titans,PASS,0,0,,2016
Keanu,PASS,20591853,96288,15000000,2016
Keeping Up with the Joneses,PASS,14904426,13900000,,2016
Keijo!!!!!,PASS,,,,2016
Kill Command,FAIL,0,1411,,2016
Kimi no na wa.,PASS,5000181,356023831,,2016
King Dave,FAIL,,,,2016
King of the Dancehall,FAIL,,,,2016
Koe no katachi,FAIL,0,31631801,,2016
Kubo and the Two Strings,FAIL,48023088,29525034,55000000,2016
Kung Fu Panda 3,PASS,143528619,374070523,140000000,2016
L'età d'oro,FAIL,,,,2016
La La Land,PASS,151101803,275249360,20000000,2016
La pazza gioia,PASS,107362,8772168,,2016
The Legend of Tarzan,FAIL,126643061,222258964,180000000,2016
Les innocentes,PASS,1065665,5956909,,2016
Let Me Go,PASS,,,,2016
Liberty's Secret,PASS,,,,2016
The Light Between Oceans,PASS,12545979,9735753,20000000,2016
Lights Out,PASS,67268835,81537675,5000000,2016
Lion,FAIL,51739495,97831225,12000000,2016
Little Door Gods,PASS,,,,2016
Little Sister,PASS,,,,2016
Live by Night,FAIL,10378555,11395877,65000000,2016
Locos de Amor,FAIL,0,46461,,2016
The Lost City of Z,FAIL,8574339,8547484,30000000,2016
Love & Friendship,PASS,14016568,6880369,,2016
The Love Witch,PASS,228894,52169,,2016
Loving,PASS,7710234,5187830,9000000,2016
magnificent 7,FAIL,93432655,69092501,90000000,2016
Manchester by the Sea,PASS,47695371,30038496,8500000,2016
Marauders,FAIL,0,1024158,,2016
Martyrs,PASS,0,400787,,2016
Masterminds,PASS,17356894,13493772,,2016
Maudie,PASS,6170998,3564881,,2016
Me Before You,PASS,56245075,152020123,20000000,2016
Meet the Blacks,PASS,9097072,,900000,2016
Middle School: The Worst Years of My Life,PASS,20007149,3304144,8500000,2016
The Midnight Man,PASS,0,2526184,,2016
Midnight Special,FAIL,3712282,3967968,18000000,2016
Mike and Dave Need Wedding Dates,PASS,46009673,29888427,33000000,2016
Miss Peregrine's Home for Peculiar Children,PASS,87242834,208744042,110000000,2016
Miss Sloane,PASS,3500605,4219025,18000000,2016
Moana,PASS,248757044,388760321,150000000,2016
Money Monster,PASS,41012075,52454020,27000000,2016
Monster High: Welcome to Monster High,PASS,,,,2016
Monster Trucks,FAIL,33370166,28272632,125000000,2016
Moonlight,FAIL,27854931,37390581,1500000,2016
Morgan,PASS,3915251,3383535,8000000,2016
Mother's Day,PASS,,,,2016
Mr. Church,PASS,685780,,,2016
Mr. Right,FAIL,34694,795680,,2016
My Big Fat Greek Wedding 2,PASS,59689605,32406953,18000000,2016
My Life as a Zucchini,PASS,,,,2016
My Little Pony: Equestria Girls - Legend of Everfree,PASS,0,210172,,2016
Ne gledaj mi u pijat,FAIL,,,,2016
Neighbors 2: Sorority Rising,PASS,55340730,53416891,35000000,2016
The Neon Demon,PASS,1333124,2226679,7500000,2016
Neruda,FAIL,939099,5161492,,2016
Nerve,PASS,38583626,32068658,20000000,2016
The Nice Guys,PASS,36261763,23334984,50000000,2016
Nocturnal Animals,PASS,10663357,21735324,22500000,2016
Norm of the North,PASS,17062499,13473161,18000000,2016
Norman,FAIL,,,,2016
Now You See Me 2,FAIL,6507554,263249467,90000000,2016
Nowhere Boys: The Book of Shadows,PASS,0,34878,,2016
Office Christmas Party,PASS,54767494,36555805,45000000,2016
Other People,PASS,91441,,,2016
Ouija: Origin of Evil,PASS,35144505,46687361,9000000,2016
Our Kind of Traitor,PASS,3153157,4864780,,2016
Passengers,FAIL,100014699,202224973,110000000,2016
Paterson,FAIL,0,8586113,5000000,2016
Patients,FAIL,0,8693823,,2016
The Perfect Match,FAIL,9669521,512529,5000000,2016
Personal Shopper,PASS,1305195,1430217,,2016
Pet,FAIL,,,,2016
Pete's Dragon,PASS,76233151,61535824,65000000,2016
Petersburg: a selfie,PASS,,,,2016
Pink,PASS,206211,206211,,2016
Planetarium,PASS,,540590,,2016
Popstar: Never Stop Never Stopping,FAIL,9496130,40990,20000000,2016
Prevenge,PASS,,94100,,2016
Pride and Prejudice and Zombies,PASS,10907291,5731009,28000000,2016
The Purge: Election Year,PASS,79042440,39472287,10000000,2016
Quand on a 17 ans,PASS,52713,1979380,55507,2016
Queen of Katwe,PASS,8874389,1181092,15000000,2016
Réparer les vivants,FAIL,3176,2195364,3225,2016
Raising the Bar,PASS,0,11856,,2016
Raman Raghav 2.0,FAIL,,10815,,2016
Ratchet & Clank,PASS,8813410,5552229,20000000,2016
Raw,PASS,514870,2637090,522905,2016
The Red Pill,PASS,,,,2016
The Red Turtle,FAIL,920057,5792846,11000000,2016
Resident Evil: The Final Chapter,PASS,26844692,287256498,40000000,2016
Ride Along 2,FAIL,90862685,33964631,40000000,2016
The Rocky Horror Picture Show: Let's Do the Time Warp Again,PASS,,,,2016
Rogue One,PASS,532177324,516925532,200000000,2016
Rustom,PASS,880000,589794,926797,2016
Sausage Party,PASS,97670358,43673897,19000000,2016
The Secret Life of Pets,FAIL,368384330,518222082,75000000,2016
Sensitivity Training,PASS,,,,2016
Seoulyeok [Seoul Station],FAIL,0,1032650,,2016
The Shallows,PASS,55121623,63641819,13000000,2016
Shin Godzilla,FAIL,1908028,73704456,2009493,2016
The Siege of Jadotville,FAIL,,,,2016
Silence,FAIL,7100177,16626449,46500000,2016
Sing,PASS,270329045,364125744,75000000,2016
Sing Street,FAIL,3237118,9719040,3409263,2016
Snowden,FAIL,21587519,13793399,50000000,2016
Southside with You,FAIL,6304223,308745,,2016
Spa Night,PASS,38578,1716,,2016
Spidarlings,PASS,,,,2016
Split,PASS,138141585,140823221,5000000,2016
Star Trek Beyond,FAIL,158848340,176953893,185000000,2016
Storks,FAIL,7267927,110674153,70000000,2016
Stranger Things,PASS,,,,2016
Suicide Squad,PASS,325100054,420959833,175000000,2016
Sully,FAIL,125070033,113454523,60000000,2016
Swiss Army Man,FAIL,4210454,1626657,3000000,2016
Tallulah,PASS,,,,2016
Teenage Mutant Ninja Turtles: Out of the Shadows,PASS,82051601,163276773,135000000,2016
Tenemos la carne [We Are the Flesh],FAIL,8563,,,2016
Their Finest,PASS,3603484,10203605,3659724,2016
Things to come - L'avenir,FAIL,388265,4580413,,2016
Thomas & Friends: The Great Race,FAIL,0,3700794,,2016
Toni Erdmann,PASS,1478960,9822272,,2016
The Transfiguration,FAIL,21926,6524,,2016
Triple 9,PASS,12639297,13304495,20000000,2016
Trolls,PASS,153707064,190443070,125000000,2016
True Memoirs of an International Assassin,FAIL,,,,2016
Tschick,FAIL,0,3946873,,2016
Un homme a la hauteur,PASS,0,7882126,,2016
Una,FAIL,0,432418,,2016
Under The Shadow,PASS,28884,123039,,2016
Underworld: Blood Wars,FAIL,30353973,50855249,35000000,2016
The Untamed,PASS,25899,31874,,2016
Vampires In Virginia,PASS,,,,2016
Varoonegi,PASS,,,,2016
Vier gegen die Bank,FAIL,,9165727,,2016
The Void,PASS,151042,226582,,2016
Voltron: Legendary Defender,PASS,,,,2016
War Dogs,FAIL,43034523,43199980,50000000,2016
War on Everyone,FAIL,0,708278,,2016
Warcraft,PASS,47365290,391534534,160000000,2016
Whiskey Tango Foxtrot,PASS,23083334,2267413,35000000,2016
Wiener-Dog,FAIL,470575,257352,,2016
Women Who Kill,PASS,,,,2016
X-Men: Apocalypse,PASS,155442489,387095057,178000000,2016
Yoga Hosers,FAIL,0,22958,5000000,2016
The Young Offenders,PASS,0,921875,,2016
Zoombies,PASS,,,,2016
Zootopia,PASS,341268248,695100000,150000000,2016
